[Info]

Chopper_Name=AXMP2K  2 ZP1.14
Chopper_Node=20
Chopper_Hour=0
User_Comment=B411
Program_Version=ZAPI PC Can Console 0.94
Save_Date=Tue Feb 04 16:03:16 2020

[Release Format]
Release=2

[Code;Name;Position;Menu;Value;Scaled Value;Default;CodeOpenCan;Node;NotSaved;Active;Configuration;NameMenu]
250;ACC. TORQUE DEL.;1;4;1;0,1    ;65535;8367;20;0;1;N/A;PARAMETER CHANGE;
250;DEC. TORQUE DEL.;2;4;1;0,1    ;65535;8428;20;0;1;N/A;PARAMETER CHANGE;
250;ACCELER. DELAY ;3;4;20;2,0    ;65535;8192;20;0;1;N/A;PARAMETER CHANGE;
250;RELEASE BRAKING ;4;4;20;2,0    ;65535;8203;20;0;1;N/A;PARAMETER CHANGE;
250;DECEL. BRAKING  ;5;4;90;9,0    ;65535;8429;20;0;1;N/A;PARAMETER CHANGE;
250;MAX SPEED LIFT ;6;4;100;100 %;65535;8380;20;0;1;N/A;PARAMETER CHANGE;
250;1ST PUMP SPEED ;7;4;50;50 %;65535;8224;20;0;1;N/A;PARAMETER CHANGE;
250;2ND PUMP SPEED ;8;4;100;100 %;65535;8227;20;0;1;N/A;PARAMETER CHANGE;
250;3RD PUMP SPEED ;9;4;28;28 %;65535;8230;20;0;1;N/A;PARAMETER CHANGE;
250;4TH PUMP SPEED ;10;4;28;28 %;65535;8233;20;0;1;N/A;PARAMETER CHANGE;
250;5TH PUMP SPEED ;11;4;28;28 %;65535;8236;20;0;1;N/A;PARAMETER CHANGE;
250;HYD PUMP SPEED ;12;4;16;16 %;65535;8239;20;0;1;N/A;PARAMETER CHANGE;
250;CUTBACK SPEED 1 ;13;4;100;100 %;65535;8213;20;0;1;N/A;PARAMETER CHANGE;
250;CUTBACK SPEED 2 ;14;4;100;100 %;65535;8214;20;0;1;N/A;PARAMETER CHANGE;
250;FREQUENCY CREEP ;15;4;12;1,20 Hz;65535;8409;20;0;1;N/A;PARAMETER CHANGE;
250;TORQUE CREEP  ;16;4;12;4,7 %;65535;8375;20;0;1;N/A;PARAMETER CHANGE;
250;MAX. CURRENT TRA;17;4;40;40 %;65535;8255;20;0;1;N/A;PARAMETER CHANGE;
250;MAX. CURRENT BRK;18;4;40;40 %;65535;8256;20;0;1;N/A;PARAMETER CHANGE;
250;ACC SMOOTH   ;19;4;10;1,0    ;65535;8401;20;0;1;N/A;PARAMETER CHANGE;
250;STOP SMOOTH   ;20;4;10;10 Hz;65535;8403;20;0;1;N/A;PARAMETER CHANGE;
250;EB. ENGAGE DELAY;21;4;4;0,04    ;65535;8247;20;0;1;N/A;PARAMETER CHANGE;
250;AUXILIARY TIME ;22;4;4;0,4    ;65535;8248;20;0;1;N/A;PARAMETER CHANGE;
250;ROLLING DW SPEED;23;4;5;5 Hz;65535;8446;20;0;1;N/A;PARAMETER CHANGE;
250;MIN EVP     ;24;4;16;6,3 %;65535;8438;20;0;1;N/A;PARAMETER CHANGE;
250;MAX EVP     ;25;4;249;97,6 %;65535;8437;20;0;1;N/A;PARAMETER CHANGE;
250;EVP OPEN DELAY ;26;4;16;0,80    ;65535;8442;20;0;1;N/A;PARAMETER CHANGE;
250;EVP CLOSE DELAY ;27;4;16;0,80    ;65535;8441;20;0;1;N/A;PARAMETER CHANGE;
250;HM DISPLAY OPT. ;1;8;4;4    ;65535;20748;20;0;1;N/A;  SET OPTIONS   ;
250;HM CUSTOM 1 OPT.;2;8;0;0    ;65535;20749;20;0;1;N/A;  SET OPTIONS   ;
250;HM CUSTOM 2 OPT.;3;8;1;1    ;65535;20750;20;0;1;N/A;  SET OPTIONS   ;
250;TILL/SEAT SWITCH;4;8;0;SEAT      ;65535;8297;20;0;1;N/A;  SET OPTIONS   ;
250;BATTERY CHECK  ;5;8;0;LEVEL = 0;65535;8313;20;0;1;N/A;  SET OPTIONS   ;
250;STOP ON RAMP  ;6;8;1;ON       ;65535;8425;20;0;1;N/A;  SET OPTIONS   ;
