[Info]

Chopper_Name=AXMP2K  2 ZP1.14
Chopper_Node=20
Chopper_Hour=0
User_Comment=
Program_Version=ZAPI Smart Console *CONS4AFG ZP028*
Save_Date=2020/04/29 11:51:42


[Code;Name;Position;Menu;Value;Scaled Value;CodeOpenCan;Node;NotSaved;NameMenu]
250;ACC. TORQUE DEL.;1;4;1;    0.1   ;8367;20;0; PARAMETER CHANGE  ;
250;DEC. TORQUE DEL.;2;4;1;    0.1   ;8428;20;0; PARAMETER CHANGE  ;
250; ACCELER. DELAY ;3;4;20;    2.0   ;8192;20;0; PARAMETER CHANGE  ;
250;RELEASE BRAKING ;4;4;20;    2.0   ;8203;20;0; PARAMETER CHANGE  ;
250;DECEL. BRAKING  ;5;4;90;    9.0   ;8429;20;0; PARAMETER CHANGE  ;
250; MAX SPEED LIFT ;6;4;100;    100%  ;8380;20;0; PARAMETER CHANGE  ;
250; 1ST PUMP SPEED ;7;4;50;     50%  ;8224;20;0; PARAMETER CHANGE  ;
250; 2ND PUMP SPEED ;8;4;100;    100%  ;8227;20;0; PARAMETER CHANGE  ;
250; 3RD PUMP SPEED ;9;4;28;     28%  ;8230;20;0; PARAMETER CHANGE  ;
250; 4TH PUMP SPEED ;10;4;28;     28%  ;8233;20;0; PARAMETER CHANGE  ;
250; 5TH PUMP SPEED ;11;4;28;     28%  ;8236;20;0; PARAMETER CHANGE  ;
250; HYD PUMP SPEED ;12;4;16;     16%  ;8239;20;0; PARAMETER CHANGE  ;
250;CUTBACK SPEED 1 ;13;4;100;    100%  ;8213;20;0; PARAMETER CHANGE  ;
250;CUTBACK SPEED 2 ;14;4;100;    100%  ;8214;20;0; PARAMETER CHANGE  ;
250;FREQUENCY CREEP ;15;4;12;   1.20Hz ;8409;20;0; PARAMETER CHANGE  ;
250;  TORQUE CREEP  ;16;4;12;    4.7%  ;8375;20;0; PARAMETER CHANGE  ;
250;MAX. CURRENT TRA;17;4;40;     40%  ;8255;20;0; PARAMETER CHANGE  ;
