[Info]

Chopper_Name=A2MP2C  2 ZP1.43
Chopper_Node=20
Chopper_Hour=2
User_Comment=
Program_Version=ZAPI Smart Console *CONS AFG ZP125*
Save_Date=2020/08/12 14:48:32


[Code;Name;Position;Menu;Value;Scaled Value;CodeOpenCan;Node;NotSaved;NameMenu]
250;ACC. TORQUE DEL.;1;4;5;    0.5   ;8367;20;0; PARAMETER CHANGE  ;
250;DEC. TORQUE DEL.;2;4;5;    0.5   ;8428;20;0; PARAMETER CHANGE  ;
250; ACCELER. DELAY ;3;4;20;    2.0   ;8192;20;0; PARAMETER CHANGE  ;
250;RELEASE BRAKING ;4;4;20;    2.0   ;8203;20;0; PARAMETER CHANGE  ;
250;DECEL. BRAKING  ;5;4;90;    9.0   ;8429;20;0; PARAMETER CHANGE  ;
250;SPEED LIMIT BRK.;6;4;28;    2.8   ;8208;20;0; PARAMETER CHANGE  ;
250;ACC. MIN MODUL. ;7;4;8;      8%  ;20833;20;0; PARAMETER CHANGE  ;
250;REL. MIN MODUL. ;8;4;30;     30%  ;20834;20;0; PARAMETER CHANGE  ;
250; MAX SPEED LIFT ;9;4;100;    100%  ;8380;20;0; PARAMETER CHANGE  ;
250; 1ST PUMP SPEED ;10;4;85;     85%  ;8224;20;0; PARAMETER CHANGE  ;
250; 2ND PUMP SPEED ;11;4;28;     28%  ;8227;20;0; PARAMETER CHANGE  ;
250; 3RD PUMP SPEED ;12;4;28;     28%  ;8230;20;0; PARAMETER CHANGE  ;
250; 4TH PUMP SPEED ;13;4;28;     28%  ;8233;20;0; PARAMETER CHANGE  ;
250; 5TH PUMP SPEED ;14;4;28;     28%  ;8236;20;0; PARAMETER CHANGE  ;
250; HYD PUMP SPEED ;15;4;16;     16%  ;8239;20;0; PARAMETER CHANGE  ;
250;CUTBACK SPEED 1 ;16;4;100;    100%  ;8213;20;0; PARAMETER CHANGE  ;
250;CUTBACK SPEED 2 ;17;4;100;    100%  ;8214;20;0; PARAMETER CHANGE  ;
250;FREQUENCY CREEP ;18;4;12;   1.20Hz ;8409;20;0; PARAMETER CHANGE  ;
250;  TORQUE CREEP  ;19;4;12;    4.7%  ;8375;20;0; PARAMETER CHANGE  ;
250;MAX. CURRENT TRA;20;4;95;     95%  ;8255;20;0; PARAMETER CHANGE  ;
250;MAX. CURRENT BRK;21;4;95;     95%  ;8256;20;0; PARAMETER CHANGE  ;
250;   ACC SMOOTH   ;22;4;10;    1.0   ;8401;20;0; PARAMETER CHANGE  ;
250;  STOP SMOOTH   ;23;4;10;     10Hz ;8403;20;0; PARAMETER CHANGE  ;
250;EB. ENGAGE DELAY;24;4;4;   0.04   ;8247;20;0; PARAMETER CHANGE  ;
250; AUXILIARY TIME ;25;4;4;    0.4   ;8248;20;0; PARAMETER CHANGE  ;
250;ROLLING DW SPEED;26;4;5;      5Hz ;8446;20;0; PARAMETER CHANGE  ;
250;HM DISPLAY OPT. ;1;8;4;      4   ;20748;20;0;   SET OPTIONS     ;
250;HM CUSTOM 1 OPT.;2;8;0;      0   ;20749;20;0;   SET OPTIONS     ;
250;HM CUSTOM 2 OPT.;3;8;1;      1   ;20750;20;0;   SET OPTIONS     ;
250;TILL/SEAT SWITCH;4;8;0;    SEAT ;8297;20;0;   SET OPTIONS     ;
250; BATTERY CHECK  ;5;8;0; LEVEL=0  ;8313;20;0;   SET OPTIONS     ;
250;  STOP ON RAMP  ;6;8;1;      ON ;8425;20;0;   SET OPTIONS     ;
250;PULL IN BRAKING ;7;8;0;     OFF ;20795;20;0;   SET OPTIONS     ;
250; SOFT LANDING   ;8;8;0;     OFF ;20796;20;0;   SET OPTIONS     ;
250;QUICK INVERSION ;9;8;2;   TIMED ;8292;20;0;   SET OPTIONS     ;
250; MAIN POT. TYPE ;10;8;0;      0   ;20730;20;0;   SET OPTIONS     ;
250; AUX POT. TYPE  ;11;8;0;      0   ;20687;20;0;   SET OPTIONS     ;
250;SET MOT.TEMPERAT;12;8;0;    NONE ;8433;20;0;   SET OPTIONS     ;
250; M.C. FUNCTION  ;13;8;1;      ON ;8377;20;0;   SET OPTIONS     ;
250; M.C. OUTPUT    ;14;8;1; PRESENT ;8427;20;0;   SET OPTIONS     ;
