[Info]

Chopper_Name=A2MT2B  2 ZP1.32
Chopper_Node=8
Chopper_Hour=0
User_Comment=
Program_Version=ZAPI Smart Console *CONS AFG ZP125*
Save_Date=2020/05/20 13:08:24


[Code;Name;Position;Menu;Value;Scaled Value;CodeOpenCan;Node;NotSaved;NameMenu]
250;ACC. TORQUE DEL.;1;4;1;    0.1   ;8367;8;0; PARAMETER CHANGE  ;
250;DEC. TORQUE DEL.;2;4;1;    0.1   ;8428;8;0; PARAMETER CHANGE  ;
250; ACCELER. DELAY ;3;4;60;    6.0   ;8192;8;0; PARAMETER CHANGE  ;
250;RELEASE BRAKING ;4;4;80;    8.0   ;8203;8;0; PARAMETER CHANGE  ;
250; TILLER BRAKING ;5;4;80;    8.0   ;8412;8;0; PARAMETER CHANGE  ;
250;INVERS. BRAKING ;6;4;80;    8.0   ;8204;8;0; PARAMETER CHANGE  ;
250;DECEL. BRAKING  ;7;4;80;    8.0   ;8429;8;0; PARAMETER CHANGE  ;
250; PEDAL BRAKING  ;8;4;40;    4.0   ;8205;8;0; PARAMETER CHANGE  ;
250;SPEED LIMIT BRK.;9;4;28;    2.8   ;8208;8;0; PARAMETER CHANGE  ;
250;  STEER BRAKING ;10;4;5;    0.5   ;20721;8;0; PARAMETER CHANGE  ;
250;ACC. MIN MODUL. ;11;4;8;      8%  ;20833;8;0; PARAMETER CHANGE  ;
250;REL. MIN MODUL. ;12;4;30;     30%  ;20834;8;0; PARAMETER CHANGE  ;
250; MAX SPEED FORW ;13;4;97;     97%  ;8222;8;0; PARAMETER CHANGE  ;
250; MAX SPEED BACK ;14;4;97;     97%  ;8223;8;0; PARAMETER CHANGE  ;
250;CUTBACK SPEED 1 ;15;4;63;     63%  ;8213;8;0; PARAMETER CHANGE  ;
250;CUTBACK SPEED 2 ;16;4;100;    100%  ;8214;8;0; PARAMETER CHANGE  ;
250;  H&S CUTBACK   ;17;4;100;    100%  ;8373;8;0; PARAMETER CHANGE  ;
250;CTB. STEER ALARM;18;4;23;     23%  ;8372;8;0; PARAMETER CHANGE  ;
250; CURVE SPEED 1  ;19;4;100;    100%  ;20723;8;0; PARAMETER CHANGE  ;
250; CURVE CUTBACK  ;20;4;100;    100%  ;8221;8;0; PARAMETER CHANGE  ;
250;FREQUENCY CREEP ;21;4;100;  10.00Hz ;8409;8;0; PARAMETER CHANGE  ;
250;  TORQUE CREEP  ;22;4;12;    4.7%  ;8375;8;0; PARAMETER CHANGE  ;
250;MAX. CURRENT TRA;23;4;30;     30%  ;8255;8;0; PARAMETER CHANGE  ;
250;MAX. CURRENT BRK;24;4;30;     30%  ;8256;8;0; PARAMETER CHANGE  ;
250;   ACC SMOOTH   ;25;4;10;    1.0   ;8401;8;0; PARAMETER CHANGE  ;
250;   INV SMOOTH   ;26;4;10;    1.0   ;8402;8;0; PARAMETER CHANGE  ;
250;  STOP SMOOTH   ;27;4;10;     10Hz ;8403;8;0; PARAMETER CHANGE  ;
250;   BRK SMOOTH   ;28;4;10;    1.0   ;8405;8;0; PARAMETER CHANGE  ;
250;STOP BRK SMOOTH ;29;4;10;     10Hz ;8407;8;0; PARAMETER CHANGE  ;
250; BACKING SPEED  ;30;4;10;     10%  ;8382;8;0; PARAMETER CHANGE  ;
250;  BACKING TIME  ;31;4;0;    0.0   ;8251;8;0; PARAMETER CHANGE  ;
250;EB. ENGAGE DELAY;32;4;4;   0.04   ;8247;8;0; PARAMETER CHANGE  ;
250; AUXILIARY TIME ;33;4;4;    0.4   ;8248;8;0; PARAMETER CHANGE  ;
