[Info]

Chopper_Name=A3MR2C  2 ZP1.29
Chopper_Node=12
Chopper_Hour=0
User_Comment=
Program_Version=ZAPI Smart Console *CONS AFG ZP125*
Save_Date=2020/08/12 14:28:44


[Code;Name;Position;Menu;Value;Scaled Value;CodeOpenCan;Node;NotSaved;NameMenu]
250;ACC. TORQUE DEL.;1;4;1;    0.1   ;8367;12;0; PARAMETER CHANGE  ;
250;DEC. TORQUE DEL.;2;4;1;    0.1   ;8428;12;0; PARAMETER CHANGE  ;
250; ACCELER. DELAY ;3;4;40;    4.0   ;8192;12;0; PARAMETER CHANGE  ;
250;RELEASE BRAKING ;4;4;20;    2.0   ;8203;12;0; PARAMETER CHANGE  ;
250; TILLER BRAKING ;5;4;5;    0.5   ;8412;12;0; PARAMETER CHANGE  ;
250;INVERS. BRAKING ;6;4;10;    1.0   ;8204;12;0; PARAMETER CHANGE  ;
250;DECEL. BRAKING  ;7;4;90;    9.0   ;8429;12;0; PARAMETER CHANGE  ;
250; PEDAL BRAKING  ;8;4;10;    1.0   ;8205;12;0; PARAMETER CHANGE  ;
250;SPEED LIMIT BRK.;9;4;28;    2.8   ;8208;12;0; PARAMETER CHANGE  ;
250;  STEER BRAKING ;10;4;5;    0.5   ;20721;12;0; PARAMETER CHANGE  ;
250;ACC. MIN MODUL. ;11;4;8;      8%  ;20833;12;0; PARAMETER CHANGE  ;
250;REL. MIN MODUL. ;12;4;30;     30%  ;20834;12;0; PARAMETER CHANGE  ;
250; MAX SPEED FORW ;13;4;100;    100%  ;8222;12;0; PARAMETER CHANGE  ;
250; MAX SPEED BACK ;14;4;100;    100%  ;8223;12;0; PARAMETER CHANGE  ;
250;CUTBACK SPEED 1 ;15;4;100;    100%  ;8213;12;0; PARAMETER CHANGE  ;
250;CUTBACK SPEED 2 ;16;4;100;    100%  ;8214;12;0; PARAMETER CHANGE  ;
250;  H&S CUTBACK   ;17;4;100;    100%  ;8373;12;0; PARAMETER CHANGE  ;
250;CTB. STEER ALARM;18;4;23;     23%  ;8372;12;0; PARAMETER CHANGE  ;
250; CURVE SPEED 1  ;19;4;100;    100%  ;20723;12;0; PARAMETER CHANGE  ;
250; CURVE CUTBACK  ;20;4;100;    100%  ;8221;12;0; PARAMETER CHANGE  ;
250;FREQUENCY CREEP ;21;4;12;   1.20Hz ;8409;12;0; PARAMETER CHANGE  ;
250;  TORQUE CREEP  ;22;4;12;    4.7%  ;8375;12;0; PARAMETER CHANGE  ;
