[Info]

Chopper_Name=A2ML2C  2 ZP1.32
Chopper_Node=16
Chopper_Hour=0
User_Comment=
Program_Version=ZAPI Smart Console *CONS4AFG ZP028*
Save_Date=2020/04/29 11:51:07


[Code;Name;Position;Menu;Value;Scaled Value;CodeOpenCan;Node;NotSaved;NameMenu]
250;PULL IN BRAKING ;1;8;0;     OFF ;20795;16;0;   SET OPTIONS     ;
250; SOFT LANDING   ;2;8;0;     OFF ;20796;16;0;   SET OPTIONS     ;
250; M.C. FUNCTION  ;3;8;0;     OFF ;8377;16;0;   SET OPTIONS     ;
250; M.C. OUTPUT    ;4;8;0;  ABSENT ;8427;16;0;   SET OPTIONS     ;
250;AUX OUT FUNCTION;5;8;0;    NONE ;8431;16;0;   SET OPTIONS     ;
250;COMP.VOLT.OUTPUT;6;8;0; LEVEL=0  ;20831;16;0;   SET OPTIONS     ;
250;      EV1       ;7;8;0;  ABSENT ;8404;16;0;   SET OPTIONS     ;
250;  SET BATTERY   ;1;16;1;     48V  ;20671;16;0;    ADJUSTMENT     ;
250;ADJUST KEY VOLT.;2;16;133;  50.68V  ;20672;16;0;    ADJUSTMENT     ;
250; ADJUST BATTERY ;3;16;128;  50.54V  ;20679;16;0;    ADJUSTMENT     ;
250;SET POSITIVE PEB;4;16;1;     24V  ;20683;16;0;    ADJUSTMENT     ;
250;    MIN LOWER   ;5;16;5;   0.19V  ;8444;16;0;    ADJUSTMENT     ;
250;    MAX LOWER   ;6;16;239;   9.37V  ;8443;16;0;    ADJUSTMENT     ;
250;VOLTAGE THR LOW ;7;16;80;     80%  ;20592;16;0;    ADJUSTMENT     ;
250;VOLTAGE THR HIGH;8;16;120;    120%  ;20593;16;0;    ADJUSTMENT     ;
250;   MC VOLTAGE   ;9;16;100;    100%  ;8376;16;0;    ADJUSTMENT     ;
250; MC VOLTAGE RED.;10;16;100;    100%  ;8378;16;0;    ADJUSTMENT     ;
250;   EB VOLTAGE   ;11;16;100;    100%  ;8436;16;0;    ADJUSTMENT     ;
250; EB VOLTAGE RED.;12;16;100;    100%  ;8435;16;0;    ADJUSTMENT     ;
250;    PWM EV1     ;13;16;255;  100.0%  ;8277;16;0;    ADJUSTMENT     ;
250; ADJUSTMENT #01 ;1;20;269;  108.4%  ;8351;16;0; SPECIAL ADJUST.   ;
250; ADJUSTMENT #02 ;2;20;266;  107.2%  ;8350;16;0; SPECIAL ADJUST.   ;
250;CURR. SENS. COMP;3;20;1;      ON ;8347;16;0; SPECIAL ADJUST.   ;
250; CURR. FALLBACK ;4;20;0;     OFF ;8346;16;0; SPECIAL ADJUST.   ;
250;  SET CURRENT   ;5;20;4;    500A  ;8334;16;0; SPECIAL ADJUST.   ;
250;SET TEMPERATURE ;6;20;100;      0°C ;8333;16;0; SPECIAL ADJUST.   ;
250;HW BATTERY RANGE;7;20;1;      1   ;20747;16;0; SPECIAL ADJUST.   ;
250;PWM AT LOW FREQ ;8;20;1;   8000Hz ;20650;16;0; SPECIAL ADJUST.   ;
250;PWM AT HIGH FREQ;9;20;1;   8000Hz ;20649;16;0; SPECIAL ADJUST.   ;
250; FREQ TO SWITCH ;10;20;80;     80Hz ;20648;16;0; SPECIAL ADJUST.   ;
250;DITHER AMPLITUDE;11;20;2;    2.3%  ;8424;16;0; SPECIAL ADJUST.   ;
250;DITHER FREQUENCY;12;20;5;   31.2Hz ;8423;16;0; SPECIAL ADJUST.   ;
250;  HIGH ADDRESS  ;13;20;0;      0   ;8406;16;0; SPECIAL ADJUST.   ;
250; CAN BUS SPEED  ;14;20;2;    125   ;20654;16;0; SPECIAL ADJUST.   ;
